"nomes","Freq"
"Marie Curie",14
"Rosalind Franklin",6
"Jane Goodall",4
"Ana Maria Primavesi",3
"Bertha Lutz",3
"Leonore Fahrig",2
"Lynn Margulis",2
"Margaret Hamilton",2
"Ada Lovelace",1
"Alda Lima Falcão",1
"Ana Maria Giulietti Harley",1
"Cleusa Graça da Fonseca",1
"Deborah Charlesworth",1
"Dian Fossey",1
"Diana Lipscomb",1
"Djamila Ribeiro",1
"Emilie Snethlage",1
"Graziela Barroso",1
"Heloísa Alberto Torres",1
"Inara Leal",1
"Johanna Dobereiner",1
"Katherine Johnson",1
"Katia M.P.M.B. Ferraz",1
"Katie Bouman",1
"Márcia Cristina B. Barbosa",1
"Maria Bernadete Lovato",1
"Maria Deane",1
"Maria Tereza Jorge Pádua",1
"Mary Leakey",1
"Mayana Zatz",1
"Nise da Silveira",1
"Patricia Morelatto",1
"Princesa Teresa da Baviera",1
"Rachel Carson",1
"Sonia Lopes",1
"Susanne Renner",1
"Vandana Shiva",1
